Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-07-10 00:00:00-04:00,314.7200012207031,316.9100036621094,312.1700134277344,315.32000732421875,34132300,0.0,0.0
2026-07-13 00:00:00-04:00,317.0199890136719,323.45001220703125,315.7799987792969,317.30999755859375,43257800,0.0,0.0
2026-07-14 00:00:00-04:00,313.760009765625,316.19000244140625,311.9100036621094,314.8599853515625,36336800,0.0,0.0
2026-07-15 00:00:00-04:00,317.6199951171875,328.7300109863281,317.32000732421875,327.5,60957600,0.0,0.0
2026-07-16 00:00:00-04:00,328.010009765625,334.67999267578125,326.7900085449219,333.260009765625,62970600,0.0,0.0
2026-07-17 00:00:00-04:00,331.9800109863281,334.989990234375,329.0,333.739990234375,63407100,0.0,0.0
2026-07-20 00:00:00-04:00,333.510009765625,333.7099914550781,323.67999267578125,326.5899963378906,53468000,0.0,0.0
2026-07-21 00:00:00-04:00,323.1300048828125,329.6000061035156,322.2200012207031,327.739990234375,41338900,0.0,0.0
2026-07-22 00:00:00-04:00,327.8699951171875,329.0,323.3399963378906,325.8900146484375,38755900,0.0,0.0
2026-07-23 00:00:00-04:00,321.7300109863281,323.29998779296875,319.3500061035156,321.6600036621094,40840800,0.0,0.0
2026-07-24 00:00:00-04:00,321.7900085449219,334.3699951171875,321.6199951171875,333.0199890136719,47489400,0.0,0.0
2026-07-27 00:00:00-04:00,334.5400085449219,339.57000732421875,334.0199890136719,336.9100036621094,49604300,0.0,0.0
2026-07-28 00:00:00-04:00,340.0299987792969,342.8900146484375,335.6000061035156,340.0799865722656,51859000,0.0,0.0
2026-07-29 00:00:00-04:00,339.7300109863281,344.57000732421875,337.3500061035156,338.19000244140625,56090800,0.0,0.0
2026-07-30 00:00:00-04:00,333.1000061035156,334.75,329.5899963378906,333.42999267578125,74817800,0.0,0.0
2026-07-31 00:00:00-04:00,304.80999755859375,310.69000244140625,300.0,308.9100036621094,132489100,0.0,0.0
2026-08-03 00:00:00-04:00,309.5799865722656,311.79998779296875,302.55999755859375,303.4200134277344,75052000,0.0,0.0
2026-08-04 00:00:00-04:00,302.7300109863281,310.4200134277344,301.32000732421875,309.3800048828125,68001000,0.0,0.0
2026-08-05 00:00:00-04:00,309.3599853515625,311.7099914550781,305.6700134277344,311.0,49438800,0.0,0.0
2026-08-06 00:00:00-04:00,314.3399963378906,316.2900085449219,309.2300109863281,312.4100036621094,46139900,0.0,0.0
2026-08-07 00:00:00-04:00,311.45001220703125,314.80999755859375,310.739990234375,313.3299865722656,34407100,0.0,0.0
